time_s,value
2.011000,0.000320
2.024000,0.000320
2.040000,0.000000
2.057000,0.000320
2.072000,0.000320
2.084000,0.000000
2.098000,0.000320
2.109000,0.000320
2.123000,0.000320
2.134000,0.000320
2.145000,0.000000
2.157000,0.000320
2.173000,0.000320
2.190000,0.000320
2.206000,0.000320
2.217000,0.000320
2.228000,0.000320
2.240000,0.000320
2.255000,0.000320
2.267000,0.000320
2.279000,0.000000
2.291000,0.000320
2.306000,0.000000
2.323000,0.000320
2.340000,0.000320
2.356000,0.000320
2.372000,0.395320
2.389000,1.740320
2.400000,2.240320
2.412000,2.585320
2.424000,2.875320
2.440000,3.090320
2.456000,3.270320
2.472000,3.440320
2.488000,3.595320
2.500000,3.680320
2.512000,3.760320
2.523000,3.835320
2.539000,3.910320
2.556000,3.975320
2.572000,4.015320
2.589000,4.050320
2.600000,4.070320
2.611000,4.085320
2.623000,4.110320
2.639000,4.130320
2.650000,4.150320
2.662000,4.165320
2.674000,4.185320
2.689000,4.210320
2.705000,4.230320
2.722000,4.250320
2.733000,4.260320
2.745000,4.270320
2.757000,4.275320
2.772000,4.285320
2.783000,4.290320
2.795000,4.300320
2.807000,4.310320
2.822000,4.315320
2.839000,4.325320
2.856000,4.330320
2.872000,4.335320
2.883000,4.340320
2.895000,4.340320
2.907000,4.340320
2.922000,4.335320
2.933000,4.325320
2.945000,4.310320
2.957000,4.280320
2.971000,4.235320
2.983000,4.175320
2.995000,4.110320
3.007000,4.030320
3.022000,3.890320
3.039000,3.640320
3.055000,3.165320
3.072000,2.205320
3.083000,0.775320
3.095000,0.000320
3.107000,0.000320
3.122000,0.000320
3.138000,0.000320
3.150000,0.000320
3.162000,0.000320
3.174000,0.000320
3.189000,0.000320
3.205000,0.000320
3.216000,0.000320
3.228000,0.000320
3.240000,2.600320
3.255000,3.255320
3.272000,3.675320
3.288000,3.900320
3.300000,3.995320
3.311000,4.075320
3.324000,4.140320
3.339000,4.200320
3.356000,4.265320
3.373000,4.315320
3.388000,4.345320
3.400000,4.370320
3.411000,4.390320
3.423000,4.405320
3.438000,4.420320
3.450000,4.435320
3.461000,4.445320
3.473000,4.460320
3.488000,4.475320
