time_s,value
6.301000,4.371488
6.313000,4.391488
6.326000,4.406488
6.340000,4.421488
6.351000,4.431488
6.363000,4.441488
6.375000,4.446488
6.390000,4.456488
6.407000,4.461488
6.424000,4.461488
6.440000,4.466488
6.451000,4.466488
6.463000,4.461488
6.475000,4.446488
6.490000,4.411488
6.507000,4.331488
6.523000,4.176488
6.535000,3.956488
6.546000,3.516488
6.558000,2.516488
6.573000,0.000000
6.590000,0.000000
6.601000,0.000000
6.613000,0.000000
6.625000,0.000000
6.640000,0.000000
6.657000,0.000000
6.668000,0.000000
6.680000,0.000000
6.691000,0.000000
6.707000,0.000000
6.723000,0.000000
6.735000,0.000000
6.747000,0.000000
6.759000,0.000000
6.774000,0.000000
6.790000,0.000000
6.806000,0.000000
6.818000,0.000000
6.830000,0.000000
6.842000,0.000000
6.857000,0.000000
6.873000,0.000000
6.884000,0.000000
6.896000,0.000000
6.908000,0.000000
6.923000,0.000000
6.934000,0.000000
6.946000,0.000000
6.958000,0.000000
6.973000,0.000000
6.984000,0.000000
6.996000,0.000000
7.009000,0.000000
7.023000,0.000000
7.039000,0.000000
7.051000,0.000000
7.063000,2.821488
7.074000,3.421488
7.089000,3.841488
7.100000,4.011488
7.112000,4.136488
7.124000,4.236488
7.139000,4.321488
7.151000,4.366488
7.163000,4.391488
7.175000,4.416488
7.188000,4.441488
7.199000,4.461488
7.211000,4.476488
7.223000,4.491488
7.234000,4.501488
7.246000,4.506488
7.258000,4.511488
7.272000,4.521488
7.283000,4.521488
7.294000,4.526488
7.306000,4.526488
7.318000,4.526488
7.329000,4.536488
7.341000,4.536488
7.355000,4.541488
7.367000,4.546488
7.378000,4.556488
7.390000,4.556488
7.404000,4.561488
7.416000,4.561488
7.427000,4.566488
7.439000,4.566488
7.450000,4.571488
7.462000,4.571488
7.473000,4.576488
7.484000,4.576488
7.496000,4.581488
7.508000,4.581488
7.521000,4.586488
7.532000,4.581488
7.543000,4.586488
7.555000,4.586488
7.567000,4.586488
7.579000,4.586488
7.591000,4.586488
7.605000,4.581488
7.616000,4.581488
7.627000,4.581488
7.639000,4.586488
7.651000,4.586488
7.662000,4.586488
7.674000,4.586488
7.688000,4.591488
7.700000,4.591488
7.712000,4.591488
7.723000,4.596488
7.738000,4.596488
7.749000,4.601488
7.761000,4.601488
7.773000,4.601488
7.784000,4.606488
7.796000,4.606488
7.808000,4.606488
7.822000,4.611488
7.834000,4.616488
7.845000,4.621488
7.857000,4.621488
7.871000,4.626488
7.882000,4.626488
7.894000,4.631488
7.906000,4.626488
7.917000,4.626488
7.929000,4.621488
7.941000,4.621488
7.955000,4.621488
7.967000,4.621488
7.979000,4.626488
7.990000,4.626488
8.006000,4.631488
8.017000,4.631488
8.029000,4.631488
8.041000,4.631488
8.056000,4.626488
8.067000,4.621488
8.079000,4.621488
8.091000,4.626488
8.106000,4.626488
8.117000,4.631488
8.129000,4.631488
8.141000,4.631488
8.157000,4.631488
8.173000,4.626488
8.189000,4.621488
8.201000,4.616488
8.213000,4.616488
8.224000,4.616488
8.239000,4.611488
8.256000,4.611488
8.267000,4.611488
8.279000,4.611488
8.291000,4.601488
8.306000,4.571488
8.317000,4.541488
8.329000,4.501488
8.341000,4.411488
8.356000,4.181488
8.373000,3.456488
8.389000,1.231488
8.401000,0.000000
8.412000,0.000000
8.425000,0.000000
8.440000,0.000000
8.456000,0.000000
8.472000,0.000000
8.484000,0.000000
8.496000,0.000000
8.508000,0.000000
8.522000,0.000000
8.534000,0.000000
8.546000,0.000000
8.558000,0.000000
8.573000,0.000000
8.590000,0.000000
8.606000,0.000000
8.623000,0.000000
8.639000,0.000000
8.650000,0.000000
8.662000,0.000000
8.675000,0.000000
8.689000,0.000000
8.700000,0.000000
8.712000,0.000000
8.724000,0.000000
8.739000,0.000000
8.756000,0.000000
8.767000,0.000000
8.779000,0.000000
8.791000,0.000000
8.806000,0.000000
8.817000,0.000000
8.829000,0.000000
8.841000,0.000000
8.856000,0.000000
8.872000,0.000000
8.889000,0.000000
8.905000,0.000000
8.917000,0.000000
8.929000,0.000000
8.941000,0.000000
8.956000,0.000000
8.972000,0.000000
8.989000,0.000000
9.000000,0.000000
9.012000,0.000000
9.024000,2.811488
9.040000,2.706488
9.056000,3.276488
9.073000,3.601488
9.089000,3.816488
9.106000,3.991488
9.117000,4.066488
9.128000,4.116488
9.140000,4.166488
9.156000,4.216488
9.167000,4.251488
9.179000,4.281488
9.191000,4.301488
9.206000,4.336488
9.222000,4.361488
9.234000,4.376488
9.245000,4.381488
9.258000,4.386488
9.273000,4.391488
9.289000,4.386488
9.306000,4.376488
9.322000,4.356488
9.334000,4.346488
9.345000,4.356488
9.358000,4.366488
9.373000,4.381488
9.389000,4.386488
9.406000,4.391488
9.422000,4.396488
9.433000,4.401488
9.445000,4.406488
9.457000,4.406488
9.472000,4.401488
9.483000,4.396488
9.495000,4.401488
9.508000,4.406488
9.523000,4.406488
9.539000,4.406488
9.555000,4.406488
9.567000,4.406488
9.579000,4.406488
9.591000,4.411488
9.606000,4.416488
9.622000,4.416488
9.639000,4.421488
9.656000,4.421488
9.672000,4.421488
9.683000,4.416488
9.695000,4.416488
9.707000,4.416488
9.722000,4.421488
9.739000,4.431488
9.755000,4.436488
9.767000,4.441488
9.778000,4.436488
9.790000,4.431488
9.805000,4.426488
9.817000,4.426488
9.828000,4.426488
9.841000,4.431488
9.855000,4.446488
9.867000,4.446488
9.879000,4.451488
9.891000,4.446488
9.905000,4.446488
9.922000,4.446488
9.939000,4.441488
9.950000,4.441488
9.962000,4.441488
9.974000,4.436488
