time_s,value
2.002000,0.103030
2.016000,0.000000
2.031000,0.103030
2.046000,0.103030
2.062000,0.000000
2.079000,0.103030
2.094000,0.103030
2.111000,0.000000
2.127000,0.103030
2.138000,0.103030
2.150000,0.103030
2.162000,0.103030
2.178000,0.103030
2.195000,0.000000
2.211000,0.103030
2.228000,0.103030
2.244000,0.103030
2.261000,0.103030
2.278000,0.103030
2.294000,0.103030
2.310000,0.103030
2.327000,0.103030
2.338000,0.103030
2.350000,0.103030
2.362000,0.103030
2.377000,0.103030
2.388000,0.103030
2.399000,0.103030
2.411000,0.103030
2.427000,0.103030
2.444000,0.103030
2.461000,0.103030
2.477000,0.103030
2.488000,0.103030
2.500000,0.103030
2.512000,0.103030
2.527000,0.103030
2.538000,0.000000
2.550000,0.103030
2.562000,0.103030
2.577000,0.103030
2.588000,0.103030
2.600000,0.000000
2.612000,0.103030
2.626000,0.000000
2.638000,0.103030
2.649000,0.103030
2.661000,0.103030
2.676000,0.103030
2.687000,0.103030
2.699000,0.000000
2.711000,0.103030
2.726000,0.103030
2.738000,0.103030
2.750000,0.103030
2.762000,0.103030
2.777000,0.103030
2.788000,0.103030
2.800000,0.103030
2.811000,0.103030
2.827000,0.000000
2.838000,0.103030
2.850000,0.000000
2.862000,0.103030
2.877000,0.103030
2.888000,0.103030
2.900000,0.103030
2.912000,0.103030
2.927000,0.103030
2.943000,0.103030
2.960000,0.103030
2.971000,0.000000
2.983000,0.103030
2.995000,0.000000
3.010000,0.103030
3.027000,0.103030
3.043000,0.103030
3.060000,0.103030
3.071000,0.103030
3.083000,144.103030
3.095000,380.103030
3.111000,574.103030
3.127000,672.103030
3.144000,747.103030
3.161000,794.103030
3.177000,818.103030
3.194000,836.103030
3.210000,848.103030
3.226000,860.103030
3.238000,866.103030
3.249000,871.103030
3.262000,876.103030
3.277000,879.103030
3.294000,884.103030
3.311000,889.103030
3.327000,895.103030
3.343000,899.103030
3.360000,903.103030
3.376000,905.103030
3.388000,907.103030
3.399000,909.103030
3.412000,911.103030
3.427000,913.103030
3.443000,915.103030
3.460000,916.103030
3.471000,918.103030
3.483000,919.103030
3.495000,919.103030
3.510000,920.103030
3.527000,921.103030
3.544000,922.103030
3.561000,922.103030
3.577000,922.103030
3.593000,922.103030
3.610000,922.103030
3.626000,921.103030
3.637000,921.103030
3.649000,921.103030
3.661000,921.103030
3.677000,920.103030
3.693000,918.103030
3.710000,917.103030
3.726000,917.103030
3.737000,917.103030
3.749000,917.103030
3.761000,916.103030
3.777000,917.103030
3.793000,916.103030
3.809000,914.103030
3.821000,915.103030
3.833000,916.103030
3.844000,918.103030
3.860000,920.103030
3.877000,922.103030
3.893000,925.103030
3.910000,926.103030
3.927000,927.103030
3.943000,928.103030
3.959000,925.103030
3.971000,922.103030
3.983000,921.103030
3.995000,919.103030
4.010000,918.103030
4.026000,917.103030
4.042000,918.103030
4.054000,918.103030
4.066000,918.103030
4.078000,919.103030
4.093000,920.103030
4.109000,921.103030
4.121000,923.103030
4.132000,925.103030
4.145000,926.103030
4.160000,928.103030
4.177000,929.103030
4.193000,929.103030
4.209000,929.103030
4.220000,929.103030
4.232000,928.103030
4.244000,928.103030
4.259000,929.103030
4.276000,930.103030
4.287000,930.103030
4.299000,931.103030
4.311000,932.103030
4.326000,933.103030
4.343000,934.103030
4.359000,934.103030
4.376000,935.103030
4.393000,936.103030
4.409000,937.103030
4.426000,937.103030
4.437000,938.103030
4.449000,937.103030
4.461000,937.103030
4.476000,936.103030
4.493000,935.103030
4.509000,935.103030
4.526000,935.103030
4.537000,935.103030
4.549000,935.103030
4.561000,934.103030
4.576000,932.103030
4.593000,926.103030
4.609000,915.103030
4.620000,905.103030
4.632000,897.103030
4.644000,894.103030
4.660000,894.103030
4.676000,896.103030
4.692000,898.103030
4.709000,897.103030
4.725000,897.103030
4.737000,897.103030
4.749000,898.103030
4.761000,898.103030
4.776000,900.103030
4.793000,904.103030
4.809000,905.103030
4.826000,905.103030
4.843000,906.103030
4.859000,905.103030
4.876000,904.103030
4.893000,903.103030
4.910000,904.103030
4.926000,905.103030
4.942000,907.103030
4.959000,909.103030
4.970000,909.103030
4.982000,910.103030
4.994000,910.103030
5.009000,911.103030
5.025000,910.103030
5.037000,909.103030
5.049000,908.103030
5.061000,904.103030
5.076000,898.103030
5.093000,890.103030
5.109000,882.103030
5.126000,878.103030
5.142000,878.103030
5.153000,876.103030
5.165000,876.103030
5.177000,874.103030
5.192000,861.103030
5.203000,850.103030
5.215000,833.103030
5.227000,816.103030
5.242000,782.103030
5.253000,759.103030
5.265000,734.103030
5.277000,689.103030
5.293000,587.103030
5.308000,410.103030
5.320000,220.103030
5.332000,37.103030
5.344000,0.000000
5.359000,0.103030
5.375000,0.103030
5.387000,0.103030
5.398000,0.103030
5.410000,0.103030
5.425000,0.103030
