time_s,value
2.000000,0.000497
2.016000,0.000000
2.028000,0.000497
2.042000,0.000497
2.065000,0.000497
2.080000,0.000497
2.092000,0.000497
2.103000,0.000497
2.114000,0.000497
2.125000,0.000497
2.142000,0.000000
2.159000,0.000497
2.175000,0.000000
2.192000,0.000497
2.208000,0.000497
2.225000,0.000000
2.242000,0.000000
2.258000,0.000497
2.275000,0.000497
2.292000,0.000000
2.309000,0.000000
2.325000,0.000000
2.342000,0.000497
2.358000,0.000497
2.375000,0.000497
2.391000,0.000497
2.402000,0.000497
2.414000,0.000000
2.426000,0.000497
2.441000,0.000497
2.452000,0.000497
2.464000,0.000000
2.475000,0.000497
2.490000,0.000497
2.502000,0.000497
2.514000,0.000497
2.526000,0.000497
2.540000,0.000497
2.552000,0.000000
2.564000,0.000497
2.576000,0.000497
2.590000,0.000497
2.602000,0.000000
2.614000,0.000497
2.625000,0.000000
2.641000,0.000497
2.652000,0.000497
2.664000,0.000497
2.676000,0.000497
2.691000,0.000497
2.708000,0.000000
2.725000,1.025497
2.741000,2.220497
2.752000,2.665497
2.763000,3.000497
2.775000,3.385497
2.790000,3.740497
2.802000,3.950497
2.813000,4.085497
2.825000,4.155497
2.840000,4.235497
2.852000,4.325497
2.863000,4.390497
2.875000,4.450497
2.891000,4.515497
2.908000,4.575497
2.925000,4.610497
2.941000,4.640497
2.957000,4.665497
2.974000,4.685497
2.990000,4.695497
3.002000,4.705497
3.013000,4.715497
3.025000,4.720497
3.041000,4.735497
3.057000,4.745497
3.073000,4.750497
3.085000,4.755497
3.097000,4.765497
3.108000,4.770497
3.124000,4.780497
3.135000,4.785497
3.147000,4.790497
3.159000,4.795497
3.175000,4.795497
3.190000,4.800497
3.202000,4.805497
3.213000,4.805497
3.225000,4.805497
3.241000,4.810497
3.258000,4.810497
3.275000,4.815497
3.291000,4.815497
3.308000,4.815497
3.325000,4.820497
3.341000,4.815497
3.357000,4.820497
3.374000,4.820497
3.390000,4.815497
3.401000,4.815497
3.413000,4.810497
3.425000,4.805497
3.441000,4.795497
3.458000,4.785497
3.474000,4.770497
3.491000,4.735497
3.508000,4.690497
3.524000,4.610497
3.541000,4.490497
3.558000,4.275497
3.574000,3.915497
3.591000,3.380497
3.607000,2.710497
3.624000,0.830497
3.641000,0.000497
3.657000,0.000000
3.674000,0.000497
3.691000,0.000497
3.707000,0.000000
3.724000,0.000497
3.741000,0.000000
3.757000,0.000497
3.774000,0.000497
3.791000,0.000000
3.807000,0.000497
3.824000,0.000000
3.840000,0.000000
3.851000,0.000000
3.862000,0.000000
3.874000,0.000497
3.890000,0.000000
3.907000,0.000497
3.923000,0.000497
3.940000,0.000497
3.957000,0.000497
3.974000,0.000000
3.991000,1.235497
4.008000,2.685497
4.024000,3.580497
4.040000,3.950497
4.057000,4.190497
4.074000,4.345497
4.090000,4.445497
4.101000,4.500497
4.113000,4.540497
4.125000,4.565497
4.140000,4.595497
4.157000,4.630497
4.173000,4.660497
4.190000,4.685497
4.207000,4.705497
4.223000,4.715497
4.240000,4.725497
4.257000,4.735497
4.274000,4.735497
4.290000,4.740497
4.307000,4.740497
4.324000,4.740497
4.340000,4.745497
4.358000,4.750497
4.374000,4.750497
4.391000,4.755497
4.407000,4.755497
4.422000,4.755497
4.434000,4.760497
4.445000,4.760497
4.457000,4.760497
4.472000,4.760497
4.483000,4.760497
4.494000,4.760497
4.506000,4.760497
4.517000,4.760497
4.529000,4.760497
4.541000,4.760497
4.556000,4.765497
4.573000,4.765497
4.584000,4.765497
4.596000,4.765497
4.608000,4.765497
4.624000,4.765497
4.640000,4.765497
4.657000,4.765497
4.673000,4.765497
4.690000,4.770497
4.707000,4.770497
4.724000,4.770497
4.740000,4.770497
4.757000,4.775497
4.773000,4.775497
4.790000,4.775497
4.807000,4.775497
4.823000,4.775497
4.840000,4.765497
4.857000,4.760497
4.873000,4.740497
4.890000,4.710497
4.907000,4.655497
4.922000,4.590497
4.934000,4.535497
4.946000,4.445497
4.958000,4.305497
4.973000,4.055497
4.990000,3.510497
5.007000,2.375497
5.023000,0.010497
5.040000,0.000000
5.056000,0.000497
5.073000,0.000000
5.090000,0.000000
5.106000,0.000497
5.123000,0.000497
5.140000,0.000497
5.157000,0.000497
5.173000,0.000497
5.189000,0.000497
5.206000,0.000497
5.223000,0.000497
5.239000,0.000497
5.256000,0.000497
5.273000,0.000497
5.290000,0.000000
5.307000,0.000497
5.323000,0.000497
5.340000,0.000000
5.356000,0.000497
5.373000,0.000497
5.390000,0.000497
