time_s,value
1.999000,3.158434
2.015000,3.198434
2.036000,3.223434
2.048000,3.243434
2.068000,3.263434
2.080000,3.283434
2.096000,3.318434
2.112000,3.348434
2.129000,3.368434
2.140000,3.383434
2.151000,3.388434
2.163000,3.398434
2.178000,3.398434
2.190000,3.403434
2.202000,3.408434
2.213000,3.418434
2.228000,3.428434
2.240000,3.433434
2.252000,3.443434
2.263000,3.448434
2.277000,3.453434
2.289000,3.463434
2.301000,3.468434
2.313000,3.473434
2.328000,3.483434
2.340000,3.493434
2.351000,3.498434
2.363000,3.503434
2.377000,3.508434
2.389000,3.513434
2.400000,3.518434
2.411000,3.523434
2.423000,3.533434
2.435000,3.538434
2.447000,3.543434
2.461000,3.548434
2.472000,3.553434
2.484000,3.563434
2.496000,3.573434
2.510000,3.583434
2.522000,3.593434
2.534000,3.598434
2.545000,3.598434
2.556000,3.608434
2.568000,3.613434
2.580000,3.623434
2.594000,3.638434
2.605000,3.643434
2.617000,3.648434
2.629000,3.653434
2.643000,3.653434
2.655000,3.648434
2.667000,3.653434
2.679000,3.653434
2.690000,3.653434
2.701000,3.653434
2.713000,3.658434
2.727000,3.663434
2.738000,3.668434
2.750000,3.668434
2.762000,3.673434
2.773000,3.668434
2.785000,3.668434
2.796000,3.663434
2.810000,3.653434
2.822000,3.648434
2.834000,3.653434
2.845000,3.653434
2.856000,3.633434
2.868000,3.598434
2.880000,3.533434
2.894000,3.458434
2.905000,3.413434
2.917000,3.348434
2.928000,3.293434
2.940000,3.238434
2.951000,3.163434
2.963000,3.013434
2.977000,2.748434
2.988000,2.513434
3.000000,2.423434
3.011000,2.353434
3.023000,2.243434
3.035000,2.093434
3.047000,1.798434
3.061000,1.433434
3.072000,1.058434
3.084000,0.093434
3.096000,0.000000
3.111000,0.000000
3.123000,0.000000
3.135000,0.000000
3.147000,0.000000
3.161000,0.000000
3.177000,0.000000
3.189000,0.000000
3.201000,0.000000
3.212000,0.000000
3.228000,0.000000
3.245000,0.000000
3.256000,0.000000
3.268000,1.458434
3.280000,2.048434
3.295000,2.748434
3.312000,3.158434
3.323000,3.293434
3.335000,3.373434
3.346000,3.428434
3.361000,3.483434
3.373000,3.513434
3.384000,3.543434
3.397000,3.558434
3.412000,3.583434
3.423000,3.593434
3.435000,3.608434
3.447000,3.618434
3.461000,3.628434
3.473000,3.638434
3.485000,3.653434
3.496000,3.658434
3.512000,3.673434
3.523000,3.673434
3.535000,3.678434
3.546000,3.683434
3.562000,3.678434
3.577000,3.683434
3.589000,3.688434
3.601000,3.693434
3.613000,3.698434
3.628000,3.703434
3.645000,3.708434
3.662000,3.708434
3.678000,3.713434
3.695000,3.713434
3.706000,3.713434
3.717000,3.713434
3.729000,3.713434
3.745000,3.708434
3.762000,3.693434
3.778000,3.668434
3.794000,3.618434
3.806000,3.563434
3.818000,3.508434
3.830000,3.443434
3.845000,3.318434
3.856000,3.213434
3.868000,3.033434
3.880000,2.713434
3.895000,2.133434
3.906000,1.393434
3.918000,0.403434
3.930000,0.000000
3.945000,0.000000
3.956000,0.000000
3.968000,0.000000
3.980000,0.000000
3.995000,0.000000
4.011000,0.000000
4.023000,0.000000
4.034000,0.000000
4.047000,0.000000
4.067000,0.000000
4.080000,0.000000
4.095000,0.000000
4.112000,0.000000
4.128000,0.000000
4.139000,0.000000
4.151000,0.000000
4.163000,0.000000
4.178000,0.000000
4.189000,0.000000
4.201000,0.000000
4.213000,2.388434
4.228000,2.443434
4.244000,2.958434
4.256000,3.133434
4.268000,3.243434
4.280000,3.318434
4.295000,3.373434
4.311000,3.418434
4.322000,3.443434
4.334000,3.468434
4.347000,3.498434
4.362000,3.528434
4.378000,3.553434
4.394000,3.573434
4.411000,3.593434
4.422000,3.608434
4.434000,3.618434
4.446000,3.638434
4.461000,3.653434
4.478000,3.673434
4.494000,3.683434
4.506000,3.688434
4.518000,3.698434
4.530000,3.698434
4.544000,3.703434
4.556000,3.703434
4.567000,3.703434
4.580000,3.708434
4.595000,3.708434
4.611000,3.713434
4.628000,3.718434
4.639000,3.723434
4.651000,3.723434
4.663000,3.723434
4.678000,3.728434
4.694000,3.728434
4.706000,3.733434
4.717000,3.733434
4.729000,3.733434
4.744000,3.738434
4.761000,3.743434
4.778000,3.748434
4.794000,3.748434
4.806000,3.748434
4.817000,3.743434
4.830000,3.743434
4.845000,3.743434
4.861000,3.738434
4.872000,3.738434
4.884000,3.738434
4.896000,3.738434
4.911000,3.733434
4.927000,3.733434
4.939000,3.733434
4.951000,3.733434
4.963000,3.733434
4.978000,3.728434
4.994000,3.723434
5.005000,3.723434
5.017000,3.723434
5.029000,3.728434
5.045000,3.728434
5.061000,3.728434
5.072000,3.728434
5.084000,3.728434
5.096000,3.733434
5.111000,3.733434
5.127000,3.733434
5.139000,3.733434
5.151000,3.738434
5.163000,3.738434
5.177000,3.743434
5.194000,3.743434
5.205000,3.743434
5.217000,3.738434
5.230000,3.728434
5.244000,3.718434
5.261000,3.693434
5.272000,3.648434
5.284000,3.573434
5.296000,3.458434
5.311000,3.228434
5.327000,2.943434
5.339000,2.643434
5.351000,2.423434
5.363000,2.203434
5.378000,1.833434
5.395000,1.598434
5.410000,1.498434
5.422000,1.518434
5.434000,1.528434
5.446000,1.493434
5.461000,1.368434
5.477000,1.338434
5.494000,1.333434
5.505000,1.388434
5.517000,1.488434
5.529000,1.683434
5.544000,2.158434
5.561000,2.468434
5.572000,2.723434
5.584000,3.028434
5.595000,3.228434
5.610000,3.363434
5.622000,3.433434
5.633000,3.478434
5.646000,3.518434
5.660000,3.558434
5.672000,3.578434
5.684000,3.598434
5.696000,3.613434
5.710000,3.623434
5.722000,3.633434
5.734000,3.633434
5.746000,3.628434
5.760000,3.603434
5.772000,3.573434
5.783000,3.523434
5.795000,3.453434
5.810000,3.268434
5.822000,3.008434
5.834000,2.658434
5.846000,2.218434
5.861000,1.958434
5.877000,2.143434
5.894000,2.458434
5.905000,2.683434
5.916000,2.908434
5.928000,3.038434
5.944000,3.178434
5.960000,3.263434
5.972000,3.308434
5.984000,3.323434
5.996000,3.343434
6.011000,3.353434
6.027000,3.368434
6.038000,3.383434
6.050000,3.373434
6.062000,3.358434
6.077000,3.313434
6.093000,3.208434
6.105000,3.038434
6.117000,2.768434
6.129000,2.278434
6.144000,1.233434
6.160000,0.193434
6.177000,0.000000
6.188000,0.338434
6.200000,0.948434
6.212000,1.303434
6.227000,1.743434
6.243000,2.238434
6.255000,2.593434
6.267000,2.973434
6.279000,3.233434
6.294000,3.378434
6.310000,3.458434
6.327000,3.493434
6.338000,3.483434
6.350000,3.448434
6.362000,3.388434
6.377000,3.218434
6.393000,2.938434
6.405000,2.528434
6.417000,2.098434
6.429000,1.728434
6.444000,1.763434
6.460000,2.433434
6.477000,2.968434
6.493000,3.223434
6.505000,3.288434
6.517000,3.313434
6.529000,3.308434
6.544000,3.238434
6.561000,2.948434
6.577000,2.528434
6.588000,2.073434
6.600000,1.708434
6.612000,1.733434
6.626000,2.283434
6.637000,2.598434
6.649000,2.798434
6.661000,2.928434
6.675000,2.998434
6.686000,3.008434
6.698000,2.973434
6.710000,2.888434
6.721000,2.693434
6.734000,2.388434
6.746000,1.913434
6.759000,1.318434
6.771000,0.693434
6.782000,0.438434
6.794000,0.923434
6.809000,1.573434
6.821000,1.968434
6.833000,2.263434
6.845000,2.493434
6.861000,2.718434
6.877000,2.828434
6.894000,2.818434
6.910000,2.663434
6.926000,2.353434
6.938000,2.083434
6.949000,1.868434
6.961000,1.893434
6.977000,2.173434
6.993000,2.463434
7.010000,2.608434
7.026000,2.693434
7.038000,2.708434
7.049000,2.723434
7.061000,2.738434
7.077000,2.743434
7.093000,2.768434
7.104000,2.798434
